country,continent,regionUN,subregionUN,year_stunting_current,prev_stunting_current,number_stunting_current,year_wasting,prev_wasting,number_wasting,year_sev_wasting,number_sev_wasting,prev_sev_wasting,year_u5overweight,prev_u5overweight,number_u5overweight,year_lbw,LBW,year_stuntingtrend1,rate_stuntingtrend1,year_stuntingtrend2,rate_stuntingtrend2,year_stuntingtrend3,rate_stuntingtrend3,year_stuntingtrend4,rate_stuntingtrend4,year_stuntingtrend5,rate_stuntingtrend5,,,,,,year_adolOWOB,AdolOW,AdolOB,year_heightBMI,prev_height145,prev_BMI185,year_adult_OB_OW,ow_male,ow_female,ow_bothsexes,ob_male,ob_female,ob_bothsexes,year_WRAanaemia,WRAanaemia_RATE,WRAanaemia_NUMBER,year_vitA_def,prevalence_vita,year_IodineNutrition,Class_IodineNutrition,year_bloodglucose,BGboth,BGmale,BGfemale,year_bloodpressure,BPboth,BPmale,BPfemale,year_cholesterol,cholesterol_BOTH,cholesterol_MALE,cholesterol_FEMALE,current_aarr_stunting,reqd_aarr_stunting,stunting_progress,current_aarr_u5overweight,reqd_aarr_u5overweight,u5overweight_progress,wasting_progress,year_WHAtarget_WRAanaemia,WHAtarget_WRAanaemia1
Republic of Moldova,Europe,Europe,Eastern Europe,2012,6,14,2012,2,4,,,,2012,5,11,2012,5.8,,,,,,,2012,6,2005,11,,,,,,,,,2005,0.2,5.8,2014,46,47,47,11,18,15,2011,26,245,,,1996,Mild iodine deficiency,2008,10,10,11,2008,46,48,43,2008,37,35,37,8,1,On course - Good progress,8.460000038,0,On course - Good progress,on course,2011,Currently off course
Romania,Europe,Europe,Eastern Europe,,,,,,,,,,,,,2012,8.4,2002,13,2001,14,2000,13,1999,15,1991,11,,,,,,,,,,,,2014,63,53,58,21,23,22,2011,24,1302,,,2000-01,Mild iodine deficiency,2008,9,10,9,2008,45,47,42,2008,46,46,45,,,,5.510000229,,,,2011,Currently off course
Russian Federation,Europe,Europe,Eastern Europe,,,,,,,,,,,,,2012,6.1,,,,,,,,,,,,,,,,,,,,,,2014,61,57,59,20,27,24,2011,21,7957,,,1999-02,Mild iodine deficiency,2008,11,11,11,2008,44,46,41,2008,51,47,52,,,,,,,,2011,Currently off course
Rwanda,Africa,Africa,Eastern Africa,2015,38,733,2015,2,43,2015,0,0.600000024,2015,8,149,2010,7.1,2015,38,2010,44,2005,52,2000,48,1996,45,,,,,,,,,2010,2.1,5.2,2014,12,28,20,1,7,4,2011,17,467,2013,39,1996,Risk of iodine-induced hyperthyroidism within 5?10 years following introduction of iodized salt in susceptible groups,2008,6,7,6,2008,49,51,48,2008,23,21,25,3,5,Off course - Some progress,-1.639999986,0.9,Off course - No progress,on course,2011,Currently off course
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Caribbean,,,,,,,,,,,,,2011,10.4,,,,,,,,,,,,,,,,2011,32.5,14.4,,,,2014,53,65,59,21,35,28,2011,,,,,,,2008,14,14,15,2008,46,50,42,2008,42,39,44,,,,,,,,2011,
Saint Lucia,Americas,Latin America and the Caribbean,Caribbean,2012,3,0,2012,4,1,2012,0,0.699999988,2012,6,1,2011,10.1,,,,,,,,,2012,3,,,,,,,,,,,,2014,51,63,57,20,34,27,2011,26,13,2013,5,,,2008,11,10,12,2008,42,46,38,2008,38,35,40,,3,,,0,,on course,2011,Currently off course
Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Caribbean,,,,,,,,,,,,,2011,10.6,,,,,,,,,,,,,,,,,,,,,,2014,51,61,56,18,31,24,2011,25,7,2013,8,,,2008,12,11,13,2008,41,45,38,2008,36,33,39,,,,,,,,2011,Currently off course
Samoa,Oceania,Oceania,Polynesia,,,,,,,,,,,,,2009,10.2,,,,,,,,,1999,6,,,,,,2011,51.7,19.2,,,,2014,69,80,74,36,51,43,2011,18,8,2013,6,,,2008,22,21,24,2008,43,47,39,2008,35,31,38,,,,,,,,2011,Currently off course
San Marino,Europe,Europe,Southern Europe,,,,,,,,,,,,,2011,10,,,,,,,,,,,,,,,,,,,,,,2014,,,,,,,2011,,,,,,,2008,,,,2008,,,,2008,,,,,,,,,,,2011,
Sao Tome and Principe,Africa,Africa,Middle Africa,2008,32,9,2008,11,3,2008,0,4.900000095,2008,12,3,2008,9.9,,,2008,32,2006,29,2000,35,1986,32,,,,,,,,,2008,1.2,5.1,2014,27,43,35,6,18,12,2011,43,18,2013,48,,,2008,10,9,10,2008,51,53,50,2008,18,16,20,2,5,Off course - Some progress,-4.300000191,2.9,Off course - No progress,off course,2011,Currently off course
Saudi Arabia,Asia,Asia,Western Asia,2005,9,261,2005,12,332,2005,0,4.5,2005,6,171,2012,8.8,,,,,,,2005,9,1994,21,,,,,,,,,,,,2014,68,72,70,30,41,35,2011,40,2832,2013,9,1994-5,Optimal iodine nutrition,2008,22,22,22,2008,41,43,39,2008,39,36,42,,3,,,0,,off course,2011,Currently off course
Senegal,Africa,Africa,Western Africa,2014,19,473,2014,6,142,2014,0,0.699999988,2014,1,32,2010,18.6,2014,19,2013,19,2012,16,2011,29,2005,20,,,,,,,,,2010,0.2,18.6,2014,22,38,30,5,15,10,2011,58,1795,2013,40,1996-7,Moderate iodine deficiency,2008,10,9,11,2008,45,47,44,2008,21,20,23,-12,5,Off course - No progress,-36.27999878,5.5,On course - At risk,off course,2011,Currently off course
Serbia,Europe,Europe,Southern Europe,2014,6,28,2014,4,18,2014,0,1.100000024,2014,14,64,2011,6.1,,,,,2014,6,2010,7,2005,8,,,,,,,,,,,,2014,60,49,55,19,21,20,2011,25,590,,,,,2008,9,10,8,2008,47,50,43,2008,50,47,52,2,2,On course - Good progress,2.839999914,6.1,Off course - Some progress,on course,2011,Currently off course
Seychelles,Africa,Africa,Eastern Africa,2012,8,1,2012,4,0,2012,0,1.200000048,2012,10,1,,,,,,,,,2012,8,1988,8,,,,,,2007,24.5,10.6,,,,2014,47,63,55,17,36,26,2011,21,5,2013,25,,,2008,14,14,13,2008,46,50,42,2008,58,59,55,,3,,,2.8,,on course,2011,Currently off course
Sierra Leone,Africa,Africa,Western Africa,2013,38,354,2013,9,88,2013,0,4.300000191,2013,9,83,2010,10.5,2013,38,2010,45,2008,37,2005,47,2000,38,,,,,,,,,2013,2,8.2,2014,18,34,26,3,12,8,2011,45,671,2013,53,,,2008,10,9,10,2008,49,49,49,2008,16,14,18,5,4,On course - Good progress,4.75,2,Off course - Some progress,off course,2011,Currently off course
Singapore,Asia,Asia,South-Eastern Asia,,,,,,,,,,,,,2011,9.5,,,,,,,,,2000,4,,,,,,,,,,,,2014,38,28,33,6,7,6,2011,22,297,,,,,2008,6,8,5,2008,35,38,31,2008,58,56,59,,,,,,,,2011,Currently off course
Slovakia,Europe,Europe,Eastern Europe,,,,,,,,,,,,,2012,7.9,,,,,,,,,,,,,,,,,,,,,,2014,66,56,61,25,27,26,2011,23,331,,,2002,Optimal iodine nutrition,2008,10,11,9,2008,46,50,42,2008,53,53,52,,,,,,,,2011,Currently off course
Slovenia,Europe,Europe,Southern Europe,,,,,,,,,,,,,2012,6,,,,,,,,,,,,,,,,,,,,,,2014,66,55,61,25,26,25,2011,24,113,,,,,2008,10,11,9,2008,46,50,42,2008,56,57,55,,,,,,,,2011,Currently off course
Solomon Islands,Oceania,Oceania,Melanesia,2007,33,25,2007,4,3,2007,0,1.399999976,2007,3,2,2007,12.5,,,,,,,2007,33,1989,34,,,,,,2011,20,2.2,,,,2014,53,67,60,22,34,28,2011,25,34,2013,8,,,2008,18,17,18,2008,37,39,36,2008,33,30,37,,5,,,0,,on course,2011,Currently off course
Somalia,Africa,Africa,Eastern Africa,2009,26,461,2009,15,265,2009,0,5,2009,3,52,,,,,,,2009,26,2006,42,2000,29,,,,,,,,,,,,2014,15,27,21,2,7,5,2011,43,934,2013,60,,,2008,8,8,8,2008,46,48,45,2008,25,24,26,0,6,Off course - Some progress,14.86999989,0,On course - Good progress,off course,2011,Currently off course
South Africa,Africa,Africa,Southern Africa,2008,24,1305,2008,5,257,,,,,,,,,2008,24,2004,33,1999,30,1995,29,1994,32,,,,,,,,,,,,2014,43,64,54,16,37,27,2011,28,3725,2013,45,1998,Optimal iodine nutrition,2008,12,12,12,2008,46,48,44,2008,36,32,38,2,3,Off course - Some progress,-13.05000019,,,on course,2011,Currently off course
South Sudan,Africa,Africa,Eastern Africa,2010,31,498,2010,23,364,2010,0,9.899999619,2010,6,96,,,,,,,,,2010,31,2006,36,,,,,,,,,,,,2014,22,34,28,4,11,8,2011,,,,,,,2008,,,,2008,,,,2008,,,,4,6,Off course - Some progress,13.85999966,0,On course - Good progress,off course,2011,
Spain,Europe,Europe,Southern Europe,,,,,,,,,,,,,2012,8.2,,,,,,,,,,,,,,,,,,,,,,2014,66,56,61,23,25,24,2011,18,2049,,,1995-02,Optimal iodine nutrition,2008,10,11,9,2008,37,42,32,2008,56,59,53,,,,,,,,2011,Currently off course
Sri Lanka,Asia,Asia,Southern Asia,2012,15,275,2012,21,401,2012,0,3,2012,1,11,2006,17,2012,15,2009,19,2007,17,2000,18,1995,26,,,,,,2008,4.5,0.5,,,,2014,18,32,25,3,10,7,2011,26,1401,2013,6,2000-01,Optimal iodine nutrition,2008,9,9,9,2008,39,42,37,2008,36,33,38,1,3,Off course - Some progress,3.769999981,0,On course - Good progress,off course,2011,Currently off course
Sudan,Africa,Africa,Northern Africa,2014,38,2208,2014,16,942,,,,2014,3,173,,,,,,,2014,38,2010,35,2006,38,,,,,,2012,11.4,3.6,,,,2014,22,34,28,4,11,8,2011,32,3399,2013,44,1997,Mild iodine deficiency,2008,8,9,8,2008,46,48,42,2008,33,33,33,-2,5,Off course - No progress,4.119999886,0,On course - Good progress,off course,2011,Currently off course
Suriname,Americas,Latin America and the Caribbean,South America,2010,9,4,2010,5,2,2010,0,0.800000012,2010,4,2,2010,13.9,,,,,2010,9,2006,11,2000,15,,,,,,2009,19.3,6.6,,,,2014,54,63,59,19,33,26,2011,25,35,2013,8,,,2008,13,12,14,2008,41,44,37,2008,36,32,39,5,3,On course - Good progress,-3.440000057,0,On course - At risk,off course,2011,Currently off course
Swaziland,Africa,Africa,Southern Africa,2014,26,44,2014,2,3,2014,0,0.400000006,2014,9,15,2010,8.7,2014,26,2010,31,2008,40,2006,30,2000,37,,,,,,2013,16.6,4,2006,0.9,1.8,2014,27,55,41,8,28,18,2011,28,87,2013,31,1998,Optimal iodine nutrition,2008,11,9,12,2008,47,49,45,2008,31,29,33,5,4,On course - Good progress,4.230000019,2.3,Off course - Some progress,on course,2011,Currently off course
Sweden,Europe,Europe,Northern Europe,,,,,,,,,,,,,2011,4.5,,,,,,,,,,,,,,,,,,,,,,2014,63,49,56,23,19,21,2011,18,378,,,,,2008,7,8,6,2008,38,43,33,2008,52,56,47,,,,,,,,2011,Currently off course
Switzerland,Europe,Europe,Western Europe,,,,,,,,,,,,,2012,6.7,,,,,,,,,,,,,,,,,,,,,,2014,63,46,55,22,17,19,2011,19,355,,,1999,Optimal iodine nutrition,2008,7,9,5,2008,35,42,28,2008,59,61,57,,,,,,,,2011,Currently off course
Syria,Asia,Asia,Western Asia,2009,28,722,2009,12,302,,,,2009,18,470,2009,10.3,2009,28,2006,29,2001,31,2000,24,1995,27,,,,,,2010,21.7,5.8,,,,2014,55,62,59,17,30,24,2011,31,1618,2013,12,,,2008,13,13,13,2008,41,42,40,2008,41,38,42,0,4,Off course - No progress,1.169999957,5.7,Off course - Some progress,off course,2011,Currently off course
Tajikistan,Asia,Asia,Central Asia,2012,27,308,2012,10,114,2012,0,4.099999905,2012,7,76,2005,10,2012,27,2009,29,2007,39,2005,33,2003,42,,,,,,,,,2012,0.7,9.3,2014,41,49,45,10,17,14,2011,25,461,2013,16,,,2008,10,11,10,2008,45,46,43,2008,24,23,25,3,5,Off course - Some progress,0.829999983,0,On course - Good progress,off course,2011,Currently off course
Thailand,Asia,Asia,South-Eastern Asia,2012,16,604,2012,7,248,2012,0,2.200000048,2012,11,404,2010,11.3,2012,16,2006,16,1995,18,1993,21,1987,25,,,,,,2008,16.4,5.5,,,,2014,26,33,30,6,11,9,2011,24,4501,2013,5,2000,Optimal iodine nutrition,2008,7,7,7,2008,34,37,32,2008,56,55,56,-1,2,Off course - No progress,-5.289999962,3.3,Off course - No progress,off course,2011,Currently off course
The former Yugoslav Republic of Macedonia,Europe,Europe,Southern Europe,2011,5,6,2011,2,2,2011,0,0.200000003,2011,12,14,2011,5.5,,,,,2011,5,2005,12,1999,8,,,,,,2007,21,3.3,,,,2014,60,51,55,18,21,20,2011,19,102,,,2002,Optimal iodine nutrition,2008,10,10,9,2008,45,48,43,2008,43,42,44,4,3,On course - Good progress,-2.160000086,4,Off course - No progress,on course,2011,Currently off course
Timor-Leste,Asia,Asia,South-Eastern Asia,2009,58,102,2009,19,34,2009,0,7.599999905,2009,6,10,2003,12,,,2009,58,2007,54,2003,55,2002,56,,,,,,,,,2009,12.7,25.6,2014,11,18,15,1,3,2,2011,23,56,2013,17,,,2008,7,6,7,2008,38,40,35,2008,27,24,29,0,5,Off course - No progress,-0.25,0,On course - At risk,off course,2011,Currently off course
Togo,Africa,Africa,Western Africa,2014,28,307,2014,7,75,2014,0,1.5,2014,2,22,2010,11.1,2014,28,2010,30,2008,27,2006,28,1998,33,,,,,,,,,1998,1,10.9,2014,17,34,26,3,12,8,2011,53,820,2013,53,1999,Optimal iodine nutrition,2008,9,9,9,2008,46,47,44,2008,17,15,19,2,5,Off course - Some progress,-5.739999771,2,On course - At risk,off course,2011,Currently off course
Tonga,Oceania,Oceania,Polynesia,2012,8,1,2012,5,1,2012,0,2.099999905,2012,17,2,,,,,,,,,2012,8,1986,2,,,,,,2010,59.6,21.9,,,,2014,70,80,75,36,50,43,2011,19,5,2013,6,,,2008,18,17,19,2008,41,44,38,2008,50,53,45,,3,,,6.7,,off course,2011,Currently off course
Trinidad and Tobago,Americas,Latin America and the Caribbean,Caribbean,,,,,,,,,,,,,2011,11.9,,,,,,,2000,5,1987,6,,,,,,2011,26.2,11.9,,,,2014,55,67,61,24,38,31,2011,25,99,2013,3,,,2008,13,12,13,2008,41,44,38,2008,39,37,41,,,,,,,,2011,Currently off course
Tunisia,Africa,Africa,Northern Africa,2012,10,93,2012,3,26,2012,0,1.700000048,2012,14,131,2011,6.9,2012,10,2006,9,2000,17,1997,12,1988,19,,,,,,,,,,,,2014,59,66,63,20,34,27,2011,28,844,2013,6,1996-7,Optimal iodine nutrition,2008,12,12,13,2008,42,43,41,2008,41,37,44,4,3,On course - Good progress,-8.430000305,5.3,Off course - No progress,on course,2011,Currently off course
Turkey,Asia,Asia,Western Asia,2013,10,604,2013,2,108,2013,0,0.400000006,2013,11,693,2008,11,2013,10,2008,12,2004,16,1998,19,,,,,,,,,,,1998,2.1,2.5,2014,64,69,66,23,36,30,2011,29,5850,2013,8,1997-9,Moderate iodine deficiency,2008,10,10,10,2008,36,36,36,2008,40,38,41,5,3,On course - Good progress,-2.029999971,3.6,Off course - No progress,on course,2011,Currently off course
Turkmenistan,Asia,Asia,Central Asia,,,,,,,,,,,,,2011,4.8,,,,,,,,,2000,28,,,,,,,,,2000,0.5,10,2014,55,56,55,17,23,20,2011,32,469,2013,9,1999,Mild iodine deficiency,2008,11,12,10,2008,45,47,42,2008,35,34,36,,,,,,,,2011,Currently off course
Tuvalu,Oceania,Oceania,Polynesia,2007,10,0,2007,3,0,2007,,0.899999976,2007,6,0,2007,6.1,,,,,,,,,2007,10,,,,,,2013,48.3,21.5,,,,2014,70,77,73,35,46,40,2011,,,,,,,2008,,,,2008,,,,2008,,,,,4,,,0,,on course,2011,
Uganda,Africa,Africa,Eastern Africa,2012,34,2373,2012,4,298,2012,0,0.300000012,2012,6,402,2011,11.8,2012,34,2011,34,2006,39,2000,45,1995,46,,,,,,2003,7.1,0.7,2011,1.3,10.2,2014,13,30,22,2,8,5,2011,27,2022,2013,39,1999,"Risk of adverse health consequences (iodine induced hyperthyroidism, auto-immune thyroid diseases)",2008,7,7,7,2008,49,50,48,2008,22,20,24,2,6,Off course - Some progress,0.170000002,0,On course - Good progress,on course,2011,Currently off course
Ukraine,Europe,Europe,Eastern Europe,,,,,,,,,,,,,2011,5.3,,,,,,,2002,4,2000,23,,,,,,,,,,,,2014,56,52,54,17,23,20,2011,23,2619,,,1991-9,Mild iodine deficiency,2008,10,10,10,2008,48,52,45,2008,44,43,45,,,,,,,,2011,Currently off course
United Arab Emirates,Asia,Asia,Western Asia,,,,,,,,,,,,,2009,6.1,,,,,,,,,,,,,,,,2010,38.4,14.4,,,,2014,73,76,74,34,45,37,2011,26,430,2013,5,1994,Mild iodine deficiency,2008,16,15,16,2008,39,41,33,2008,58,57,58,,,,,,,,2011,Currently off course
United Kingdom,Europe,Europe,Northern Europe,,,,,,,,,,,,,2011,7,,,,,,,,,,,,,,,,,,,,,,2014,68,59,63,27,29,28,2011,15,2167,,,,,2008,7,8,6,2008,38,42,33,2008,63,65,61,,,,,,,,2011,Currently off course
United Republic of Tanzania,Africa,Africa,Eastern Africa,2014,35,3061,2014,4,335,,,,2013,5,450,2010,8.4,2014,35,2013,37,2011,35,2010,43,2009,43,,,,,,,,,2010,2.7,10.1,2014,17,34,26,3,11,7,2011,40,4157,2013,43,1996,Optimal iodine nutrition,2008,8,8,9,2008,45,46,44,2008,24,22,26,0,6,Off course - Some progress,1.850000024,0,On course - Good progress,on course,2011,Currently off course
United States of America,Americas,Northern America,Northern America,2012,2,433,2012,1,103,,,,2012,6,1237,2010,8.1,2012,2,2009,3,2005,3,2001,3,1991,3,,,,,,,,,,,,2014,72,63,67,33,35,34,2011,12,8918,,,1988-94,Risk of iodine-induced hyperthyroidism within 5?10 years following introduction of iodized salt in susceptible groups,2008,11,13,9,2008,30,33,27,2008,54,53,54,4,4,On course - Good progress,1.190000057,0,On course - Good progress,on course,2011,Currently off course
Uruguay,Americas,Latin America and the Caribbean,South America,2011,11,26,2011,1,3,2011,0,0,2011,7,18,2012,8.1,2011,11,2007,11,2004,14,2003,16,2002,15,,,,,,2012,27.2,7,,,,2014,62,61,62,23,31,27,2011,17,142,2013,9,,,2008,10,11,10,2008,41,46,36,2008,42,43,41,3,4,Off course - Some progress,2.74000001,0.2,Off course - Some progress,on course,2011,Currently off course
Uzbekistan,Asia,Asia,Central Asia,2006,20,520,2006,5,119,2006,0,1.700000048,2006,13,339,2006,5,,,,,2006,20,2002,25,1996,40,,,,,,,,,1996,1.3,9.9,2014,47,51,49,12,19,16,2011,52,4071,2013,18,1998,Moderate iodine deficiency,2008,12,13,11,2008,39,42,37,2008,27,24,29,6,4,On course - Good progress,-3.630000114,3.1,Off course - No progress,on course,2011,Currently off course
Vanuatu,Oceania,Oceania,Melanesia,2013,29,10,2013,4,2,2013,0,1.100000024,2013,5,2,2007,10,,,,,2013,29,2007,26,1996,26,,,,,,2011,11.4,0.1,,,,2014,63,73,68,29,42,35,2011,22,13,2013,6,,,2008,9,9,10,2008,47,49,46,2008,38,36,39,-2,5,Off course - No progress,0.360000014,0,On course - Good progress,on course,2011,Currently on course
Venezuela,Americas,Latin America and the Caribbean,South America,2009,13,392,2009,4,120,,,,2009,6,187,2011,8.6,2009,13,2008,15,2007,16,2006,16,2005,16,,,,,,,,,,,,2014,61,64,62,20,29,25,2011,23,1751,2013,11,2000-01,Risk of iodine-induced hyperthyroidism within 5?10 years following introduction of iodized salt in susceptible groups,2008,11,11,11,2008,41,46,36,2008,38,33,43,3,4,Off course - Some progress,-2.180000067,0,On course - At risk,on course,2011,Currently off course
Viet Nam,Asia,Asia,South-Eastern Asia,2013,19,1385,2013,6,407,,,,2013,5,328,2010,5.1,2013,19,2011,23,2010,29,2008,31,2007,32,,,,,,2013,6.1,0.6,,,,2014,17,24,21,2,5,4,2011,14,3649,2013,12,1993,Moderate iodine deficiency,2008,8,8,8,2008,37,40,34,2008,36,34,38,9,2,On course - Good progress,0,0,On course - Good progress,off course,2011,Currently on course
Yemen,Asia,Asia,Western Asia,2011,47,1566,2011,13,447,2011,0,3.400000095,2011,2,50,2010,32,2011,47,2003,58,1997,59,1996,50,1991,52,,,,,,2008,11.8,4.4,1997,8.7,25.2,2014,40,54,47,11,23,17,2011,38,2197,2013,22,1998,Optimal iodine nutrition,2008,11,11,11,2008,41,43,39,2008,32,31,34,3,5,Off course - Some progress,13.97000027,0,On course - Good progress,off course,2011,Currently off course
Zambia,Africa,Africa,Eastern Africa,2013,40,1063,2013,6,167,2013,0,2.5,2013,6,165,2007,11,2013,40,2007,46,2002,53,1999,58,1996,49,,,,,,,,,2007,2.2,8.4,2014,20,39,29,3,14,9,2011,29,868,2013,49,1993,Mild iodine deficiency,2008,7,7,8,2008,48,49,46,2008,28,27,29,2,6,Off course - Some progress,4.940000057,0,On course - Good progress,off course,2011,Currently off course
Zimbabwe,Africa,Africa,Eastern Africa,2014,28,574,2014,3,69,2014,0,0.699999988,2014,4,75,2010,11,2014,28,2010,32,2009,35,2005,36,1999,34,,,,,,,,,2010,0.5,6.3,2014,16,45,31,2,19,11,2011,28,924,2013,57,1999,Risk of iodine-induced hyperthyroidism within 5?10 years following introduction of iodized salt in susceptible groups,2008,9,9,10,2008,46,46,46,2008,24,22,25,4,5,Off course - Some progress,11.23999977,0,On course - Good progress,on course,2011,Currently off course
